id,name,architect,year,lat,lng,address,city,country,description,visitDuration,category,overview
savoie,Villa Savoye,Le Corbusier,1931,48.9076,2.0432,"82 Rue de Villiers, 78300 Poissy, France",Poissy,France,An iconic masterpiece of modernist architecture.,60,Residential,"A radical white box on pilotis exemplifying the Five Points; visitors walk a gentle ramp and rooftop solarium experiencing continuous flow between interior and landscape."
notre_dame_du_haut,Notre Dame du Haut,Le Corbusier,1955,47.70455,6.6214,"13 Rue de la Chapelle, 70250 Ronchamp, France",Ronchamp,France,A sculptural chapel representing Corbusier's late style.,30,Religious,"Sensuous sculptural concrete chapel with curving walls and hovering roof; interior is washed by colored light from irregular openings, creating a contemplative atmosphere."
unite_d_habitation,Unité d'Habitation,Le Corbusier,1952,43.2558,5.3959,"280 Boulevard Michelet, 13008 Marseille, France",Marseille,France,Prototype of Corbusier's 'vertical garden city' concept.,60,Residential,"Massive béton brut slab raised on pilotis containing duplex apartments, internal 'streets', rooftop terrace and kindergarten; visitors grasp the idea of a vertical city while enjoying sea and mountain views filtered through colorful brise-soleil."
la_roche_house,Maison La Roche,Le Corbusier,1925,48.8526,2.2716,"10 Square du Dr Blanche, 75016 Paris, France",Paris,France,Early purist villa displaying Corbusier's Five Points of Architecture.,45,Residential,"Purist villa pairing a gallery with a private house around a dramatic curved ramp; the promenade architecturale guides visitors through double-height salon, ribbon windows and roof terrace flooded with changing light."
maison_curutchet,Maison Curutchet,Le Corbusier,1955,-34.9201,-57.9401,"53 Av. 53, B1900 La Plata, Argentina",La Plata,Argentina,"Only Le Corbusier project in South America, integrating modernism with existing trees.",45,Residential,"Compact urban house weaving around a mature plane tree, featuring brise-soleil façade, pilotis and ramp linking clinic and living quarters; visitors sense a dialogue between modern form and leafy context."
palace_of_assembly,Palace of Assembly,Le Corbusier,1963,30.752,76.8047,"Capitol Complex, Sector 1, Chandigarh, India",Chandigarh,India,Key building of Chandigarh Capitol Complex with bold forms and brise-soleil.,60,Government,"Monumental Brutalist parliament hall with hyperbolic paraboloid roof, massive portico and vivid primary-colored light wells; visitors experience grand democratic spaces cooled by deep concrete sun-breakers."
carpenter_center,Carpenter Center for Visual Arts,Le Corbusier,1963,42.373,-71.1149,"24 Quincy St, Cambridge, MA 02138, United States",Cambridge,USA,"Le Corbusier's only North American building, featuring a prominent ramp.",45,Educational,"Intersecting concrete cylinders and cubes raised on pilotis are pierced by a sinuous public ramp inviting passers-by to observe studios; interior skylit ateliers overlap dynamically."
saint_pierre_church,Church of Saint-Pierre,Le Corbusier,2006,45.3898,4.2869,"Boulevard Périphérique, 42700 Firminy, France",Firminy,France,Posthumously completed concrete church with dramatic skylights.,30,Religious,"Tapering conical concrete shell punctured by star-shaped skylights that scatter celestial beams across raw surfaces; visitors ascend into an immersive play of darkness and light."
pavillon_suisse,Swiss Pavilion,Le Corbusier,1933,48.8205,2.3372,"Cité Internationale Universitaire de Paris, Paris, France",Paris,France,Student residence showcasing Corbusier's modular design.,30,Residential,"Slender steel frame and modular façade panels shelter free-plan student rooms; rhythmic balconies and roof garden demonstrate early prefabrication ideas that visitors can still appreciate."
mill_owners_building,Mill Owners' Association Building,Le Corbusier,1954,23.0225,72.5714,"Ashram Rd, Ahmedabad, India",Ahmedabad,India,Modernist headquarters with bold brise-soleil façades.,45,Office,"Blocky concrete headquarters cooled by deep brise-soleil screens and river breezes; ceremonial ramp and triple-height lobby reveal dramatic play of shadow."
